instance,env_seed,agent_seed,cost,time,tw,method,arrival,category,fleet
R2_10_1,37,1,19603,601.0,TW4,hindsight,uni,R,1.0
RC1_10_1,37,1,25175,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,37,1,17951,601.01,TW4,hindsight,uni,RC,1.0
C1_10_1,21,1,31037,601.02,TW4,hindsight,uni,C,1.0
C2_10_1,21,1,32066,601.06,TW4,hindsight,uni,C,1.0
R1_10_1,21,1,26276,600.99,TW4,hindsight,uni,R,1.0
R2_10_1,21,1,18456,601.01,TW4,hindsight,uni,R,1.0
RC1_10_1,21,1,26764,600.99,TW4,hindsight,uni,RC,1.0
RC2_10_1,21,1,18304,601.03,TW4,hindsight,uni,RC,1.0
C1_10_1,35,1,30470,600.98,TW4,hindsight,uni,C,1.0
C2_10_1,35,1,27426,600.83,TW4,hindsight,uni,C,1.0
R1_10_1,35,1,26623,600.95,TW4,hindsight,uni,R,1.0
R2_10_1,35,1,19303,600.94,TW4,hindsight,uni,R,1.0
RC1_10_1,35,1,26377,601.03,TW4,hindsight,uni,RC,1.0
RC2_10_1,35,1,18044,601.0,TW4,hindsight,uni,RC,1.0
C1_10_1,34,1,30399,601.03,TW4,hindsight,uni,C,1.0
C2_10_1,34,1,28475,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,34,1,25447,600.94,TW4,hindsight,uni,R,1.0
R2_10_1,34,1,18477,600.91,TW4,hindsight,uni,R,1.0
RC1_10_1,34,1,24650,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,34,1,17938,601.0,TW4,hindsight,uni,RC,1.0
C1_10_1,20,1,31001,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,20,1,29392,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,20,1,24327,600.9,TW4,hindsight,uni,R,1.0
R2_10_1,20,1,19097,600.98,TW4,hindsight,uni,R,1.0
RC1_10_1,20,1,25427,600.95,TW4,hindsight,uni,RC,1.0
RC2_10_1,20,1,19365,600.91,TW4,hindsight,uni,RC,1.0
C1_10_1,24,1,29129,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,24,1,28644,600.92,TW4,hindsight,uni,C,1.0
R1_10_1,24,1,25458,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,24,1,18944,601.0,TW4,hindsight,uni,R,1.0
RC1_10_1,24,1,25646,600.98,TW4,hindsight,uni,RC,1.0
RC2_10_1,24,1,17635,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,30,1,30873,600.92,TW4,hindsight,uni,C,1.0
C2_10_1,30,1,29818,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,30,1,25399,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,30,1,18926,600.92,TW4,hindsight,uni,R,1.0
RC1_10_1,30,1,28934,601.08,TW4,hindsight,uni,RC,1.0
RC2_10_1,30,1,20050,601.08,TW4,hindsight,uni,RC,1.0
C1_10_1,18,1,29256,600.94,TW4,hindsight,uni,C,1.0
C2_10_1,18,1,29381,600.94,TW4,hindsight,uni,C,1.0
R1_10_1,18,1,25504,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,18,1,19863,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,18,1,24285,600.94,TW4,hindsight,uni,RC,1.0
RC2_10_1,18,1,17247,600.89,TW4,hindsight,uni,RC,1.0
C1_10_1,19,1,30776,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,19,1,26581,601.01,TW4,hindsight,uni,C,1.0
R1_10_1,19,1,26706,601.06,TW4,hindsight,uni,R,1.0
R2_10_1,19,1,18084,600.95,TW4,hindsight,uni,R,1.0
RC1_10_1,19,1,25950,600.99,TW4,hindsight,uni,RC,1.0
RC2_10_1,19,1,18625,600.97,TW4,hindsight,uni,RC,1.0
C1_10_1,31,1,31653,600.98,TW4,hindsight,uni,C,1.0
C2_10_1,31,1,30388,601.11,TW4,hindsight,uni,C,1.0
R1_10_1,31,1,27538,601.08,TW4,hindsight,uni,R,1.0
R2_10_1,31,1,19025,601.02,TW4,hindsight,uni,R,1.0
RC1_10_1,31,1,24134,601.0,TW4,hindsight,uni,RC,1.0
RC2_10_1,31,1,17082,601.01,TW4,hindsight,uni,RC,1.0
C1_10_1,25,1,31937,601.03,TW4,hindsight,uni,C,1.0
C2_10_1,25,1,29226,600.97,TW4,hindsight,uni,C,1.0
R1_10_1,25,1,27192,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,25,1,18910,601.05,TW4,hindsight,uni,R,1.0
RC1_10_1,25,1,25281,600.96,TW4,hindsight,uni,RC,1.0
RC2_10_1,25,1,18211,600.95,TW4,hindsight,uni,RC,1.0
C1_10_1,9,1,29629,600.93,TW4,hindsight,uni,C,1.0
C2_10_1,9,1,26538,600.92,TW4,hindsight,uni,C,1.0
R1_10_1,9,1,27077,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,9,1,20746,601.1,TW4,hindsight,uni,R,1.0
RC1_10_1,9,1,26270,600.99,TW4,hindsight,uni,RC,1.0
RC2_10_1,9,1,18049,601.0,TW4,hindsight,uni,RC,1.0
C1_10_1,33,1,32100,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,33,1,30198,600.88,TW4,hindsight,uni,C,1.0
R1_10_1,33,1,26875,601.01,TW4,hindsight,uni,R,1.0
R2_10_1,33,1,18784,600.95,TW4,hindsight,uni,R,1.0
RC1_10_1,33,1,24818,600.93,TW4,hindsight,uni,RC,1.0
RC2_10_1,33,1,18733,600.95,TW4,hindsight,uni,RC,1.0
C1_10_1,27,1,32726,601.06,TW4,hindsight,uni,C,1.0
C2_10_1,27,1,28137,600.97,TW4,hindsight,uni,C,1.0
R1_10_1,27,1,28107,601.05,TW4,hindsight,uni,R,1.0
R2_10_1,27,1,18946,601.01,TW4,hindsight,uni,R,1.0
RC1_10_1,27,1,26312,601.09,TW4,hindsight,uni,RC,1.0
RC2_10_1,27,1,18353,601.0,TW4,hindsight,uni,RC,1.0
C1_10_1,26,1,31427,600.92,TW4,hindsight,uni,C,1.0
C2_10_1,26,1,25597,600.86,TW4,hindsight,uni,C,1.0
R1_10_1,26,1,25553,600.93,TW4,hindsight,uni,R,1.0
R2_10_1,26,1,17995,600.89,TW4,hindsight,uni,R,1.0
RC1_10_1,26,1,24461,600.93,TW4,hindsight,uni,RC,1.0
RC2_10_1,26,1,17835,600.9,TW4,hindsight,uni,RC,1.0
C1_10_1,32,1,30036,601.1,TW4,hindsight,uni,C,1.0
C2_10_1,32,1,30113,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,32,1,25429,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,32,1,19352,600.99,TW4,hindsight,uni,R,1.0
RC1_10_1,32,1,25696,600.96,TW4,hindsight,uni,RC,1.0
RC2_10_1,32,1,17870,600.92,TW4,hindsight,uni,RC,1.0
C1_10_1,8,1,29433,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,8,1,28415,600.96,TW4,hindsight,uni,C,1.0
R1_10_1,8,1,26100,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,8,1,18882,600.91,TW4,hindsight,uni,R,1.0
RC1_10_1,8,1,26143,601.11,TW4,hindsight,uni,RC,1.0
RC2_10_1,8,1,18435,601.04,TW4,hindsight,uni,RC,1.0
C1_10_1,5,1,32368,601.02,TW4,hindsight,uni,C,1.0
C2_10_1,5,1,28192,601.1,TW4,hindsight,uni,C,1.0
R1_10_1,5,1,26609,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,5,1,19510,600.95,TW4,hindsight,uni,R,1.0
RC1_10_1,5,1,25718,601.01,TW4,hindsight,uni,RC,1.0
RC2_10_1,5,1,17969,601.04,TW4,hindsight,uni,RC,1.0
C1_10_1,17,1,30558,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,17,1,28862,601.05,TW4,hindsight,uni,C,1.0
R1_10_1,17,1,28934,600.99,TW4,hindsight,uni,R,1.0
R2_10_1,17,1,19392,600.92,TW4,hindsight,uni,R,1.0
RC1_10_1,17,1,25313,601.02,TW4,hindsight,uni,RC,1.0
RC2_10_1,17,1,17260,600.97,TW4,hindsight,uni,RC,1.0
C1_10_1,16,1,31643,601.01,TW4,hindsight,uni,C,1.0
C2_10_1,16,1,28116,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,16,1,26745,600.96,TW4,hindsight,uni,R,1.0
R2_10_1,16,1,20538,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,16,1,25652,600.98,TW4,hindsight,uni,RC,1.0
RC2_10_1,16,1,18613,600.94,TW4,hindsight,uni,RC,1.0
C1_10_1,4,1,31446,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,4,1,28907,601.09,TW4,hindsight,uni,C,1.0
R1_10_1,4,1,25592,600.93,TW4,hindsight,uni,R,1.0
R2_10_1,4,1,19373,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,4,1,25656,601.04,TW4,hindsight,uni,RC,1.0
RC2_10_1,4,1,18448,601.01,TW4,hindsight,uni,RC,1.0
C1_10_1,6,1,29648,600.94,TW4,hindsight,uni,C,1.0
C2_10_1,6,1,27908,600.99,TW4,hindsight,uni,C,1.0
R1_10_1,6,1,26114,601.02,TW4,hindsight,uni,R,1.0
R2_10_1,6,1,18866,600.98,TW4,hindsight,uni,R,1.0
RC1_10_1,6,1,24561,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,6,1,16954,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,28,1,31835,600.99,TW4,hindsight,uni,C,1.0
C2_10_1,28,1,29575,601.0,TW4,hindsight,uni,C,1.0
R1_10_1,28,1,27634,601.12,TW4,hindsight,uni,R,1.0
R2_10_1,28,1,20015,601.06,TW4,hindsight,uni,R,1.0
RC1_10_1,28,1,26510,601.04,TW4,hindsight,uni,RC,1.0
RC2_10_1,28,1,18092,601.09,TW4,hindsight,uni,RC,1.0
C1_10_1,14,1,30405,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,14,1,31250,600.97,TW4,hindsight,uni,C,1.0
R1_10_1,14,1,26874,601.05,TW4,hindsight,uni,R,1.0
R2_10_1,14,1,18853,600.95,TW4,hindsight,uni,R,1.0
RC1_10_1,14,1,25799,600.92,TW4,hindsight,uni,RC,1.0
RC2_10_1,14,1,19270,600.95,TW4,hindsight,uni,RC,1.0
C1_10_1,15,1,30518,600.96,TW4,hindsight,uni,C,1.0
C2_10_1,15,1,27920,601.04,TW4,hindsight,uni,C,1.0
R1_10_1,15,1,27790,601.09,TW4,hindsight,uni,R,1.0
R2_10_1,15,1,18623,601.0,TW4,hindsight,uni,R,1.0
