instance,Kleopatra,Team_SB,OptiML,HustSmart,OrbertoHood,UPB,MTGBWS,HowToRoute,Kirchhoffslaw,hindsight,icd-double-threshold,icd-double-threshold180,icd-double-threshold600,icd-hamming-distance1,icd-hamming-distance2,icd-hamming-distance3
ORTEC-VRPTW-ASYM-b89e3f52-d1-n220-k17,222690,238132,235601,235006,238893,234322,241754,234835,238162,214729.4,227969.1,226908.1,225195.3,233953.6,229947.8,231439.2
ORTEC-VRPTW-ASYM-cfe86a35-d1-n262-k18,371016,370656,378830,377973,374094,377923,392005,381879,397268,341551.0,371035.7,369378.2,369699.0,382357.9,381090.1,373465.9
ORTEC-VRPTW-ASYM-b974ae18-d1-n249-k25,309152,313114,323009,324255,315026,332420,328714,338941,325550,284906.0,305614.2,305000.6,303526.4,317378.9,310382.0,307823.2
ORTEC-VRPTW-ASYM-fbedf849-d1-n336-k25,326158,327406,322499,320119,332359,331306,326095,332756,327852,306016.0,319684.2,323300.1,321814.7,326843.0,322101.0,319942.3
ORTEC-VRPTW-ASYM-a161ee71-d1-n250-k25,217904,221763,226794,229380,231893,223313,224461,233226,224746,210130.0,219692.1,219892.9,216197.1,223212.0,223639.1,221733.3
ORTEC-VRPTW-ASYM-be9d7acd-d1-n221-k15,345024,362672,369599,354341,354344,371488,384976,394533,377284,310456.0,350306.7,352217.3,347958.2,371030.0,352479.1,356359.3
ORTEC-VRPTW-ASYM-5e37bd11-d1-n486-k30,373924,381769,371763,380224,385393,395390,395119,388217,391772,341519.2,371329.7,369408.9,367920.3,380534.9,381697.5,379936.7
ORTEC-VRPTW-ASYM-756b440e-d1-n294-k20,298872,348672,347537,346686,330486,353189,352331,353370,328139,290214.0,303232.5,302923.5,302405.2,307621.4,316864.6,311679.7
ORTEC-VRPTW-ASYM-df8f2eda-d1-n359-k27,402020,407647,411506,423069,421698,415419,429804,432289,433899,374030.0,407429.7,406789.8,407489.0,418127.2,412323.0,412392.8
ORTEC-VRPTW-ASYM-52231a84-d1-n315-k20,443060,445066,439522,448586,463675,460519,458722,454271,447860,405760.0,440654.5,442951.3,441117.3,446564.0,446526.2,440344.4
ORTEC-VRPTW-ASYM-665fce39-d1-n303-k19,345155,346839,353970,352057,362899,353799,356325,358355,356920,329207.7,348048.9,347870.4,346827.7,354063.0,352460.5,352817.0
